drug,alternative_1,alternative_2,alternative_3
Triamterene,"5-Phenylsulfanyl-2,4-Quinazolinediamine",6-(CYCLOHEXYLMETHOXY)-8-ISOPROPYL-9H-PURIN-2-AMINE,"6-ETHYL-5-[9-(3-METHOXYPROPYL)-9H-CARBAZOL-2-YL]PYRIMIDINE-2,4-DIAMINE"
Valrubicin,Amrubicin,Idarubicin,Novobiocin
Procyclidine,Trihexyphenidyl,Cycrimine,Pridinol
Phenylephrine,Gepefrine,Metaraminol,Epinephrine
Carbimazole,Willardiine,Pentoxifylline,Theophylline
Digoxin,Digitoxin,Metildigoxin,Acetyldigitoxin
Sulpiride,Tiapride,Levosulpiride,Veralipride
Profenamine,Aminopromazine,Alimemazine,Isothipendyl
Nimodipine,Nilvadipine,Nisoldipine,Nitrendipine
Beclomethasone dipropionate,Meprednisone acetate,Beclomethasone 17-monopropionate,Dexamethasone acetate
Carisoprodol,Mebutamate,"S-[(1-Hydroxy-2,2,5,5-tetramethyl-2,5-dihydro-1H-pyrrol-3-yl)methyl] methanesulfonothioate",TERT-BUTYL 2-CYANO-2-METHYLHYDRAZINECARBOXYLATE
Progesterone,Testosterone propionate,Testosterone enanthate,Testosterone undecanoate
Phenylpropanolamine,Mandelic acid,Diphenylacetic acid,Pargeverine
Sorafenib,Regorafenib,Amelubant,Fluazuron
Zoledronic acid,Risedronic acid,Minodronic acid,Incadronic acid
Griseofulvin,Sinomenine,Rotenone,Meclocycline
Nisoldipine,Aranidipine,Nimodipine,Nifedipine
Eszopiclone,Zopiclone,IMG-7289,Bomedemstat
Ceruletide,Bombesin,Ozarelix,PP-F11N lutetium Lu-177
Alprazolam,Triazolam,Midazolam,Pyrazolam
Dexbrompheniramine,Dexchlorpheniramine,(R)-pyridin-4-yl[4-(2-pyrrolidin-1-ylethoxy)phenyl]methanol,(2R)-2-(4-CHLOROPHENYL)-2-PHENYLETHANAMINE
Gentian violet cation,Malachite Green,Brilliant green cation,(4-BROMOPHENYL)[4-({(2E)-4-[CYCLOPROPYL(METHYL)AMINO]BUT-2-ENYL}OXY)PHENYL]METHANONE
Loxapine,Clothiapine,Clozapine,Clopenthixol
Remoxipride,Raclopride,Fallypride,Ropivacaine
Mupirocin,Tildipirosin,Amcipatricin,Tylvalosin
Carbamoylcholine,Bethanechol,Isobutyramide,Carisoprodol
Rosiglitazone,Pioglitazone,Leriglitazone,CDC-801
Pramipexole,Dexpramipexole,Frovatriptan,BMS-986104
Acetohexamide,3-{[(4-methylphenyl)sulfonyl]amino}propyl pyridin-4-ylcarbamate,Sulfabenzamide,(4-sulfamoyl-phenyl)-thiocarbamic acid O-(2-thiophen-3-yl-ethyl) ester
Ampicillin,Benzylpenicillin,Amoxicillin,Phenoxymethylpenicillin
Metocurine iodide,Metocurine,Berbamine,Tubocurarine
Phenoxymethylpenicillin,Benzylpenicillin,Ampicillin,Cyclacillin
Secobarbital,Aprobarbital,Talbutal,Vinylbital
Miglustat,Miglitol,Lucerastat,Sinbaglustat
Promazine,Prothipendyl,Imipramine,Chlorpromazine
Spironolactone,Eplerenone,Hydrocortisone valerate,Hydrocortisone butyrate
Methylphenidate,alpha-Pyrrolidinononanophenone,Adiphenine,Cyclopentolate
Methocarbamol,Felbamate,Meprobamate,Zileuton
Hyoscyamine,Hydroxy-Phenyl-Acetic Acid 8-Methyl-8-Aza-Bicyclo[3.2.1]Oct-3-Yl Ester,Atropine,Benzoylecgonine
Zolpidem,Ozenoxacin,Ocaperidone,AZD-4877
Famciclovir,Tenofovir,"[{(5-Chloro-2-Pyridinyl)Amino} Methylene]-1,1-Bisphosphonate",Febarbamate
Triprolidine,Ospemifene,Toremifene,(4-BROMOPHENYL)[4-({(2E)-4-[CYCLOPROPYL(METHYL)AMINO]BUT-2-ENYL}OXY)PHENYL]METHANONE
Streptozocin,4-O-methyl-alpha-D-glucuronic acid,4-O-methyl-beta-D-glucuronic acid,N-acetyl-N'-beta-D-glucopyranosyl urea
Carboprost tromethamine,Dinoprost tromethamine,Tafluprost,Prostalene
Cefpiramide,Cefoperazone,Cefbuperazone,Ombitasvir
Lindane,"4-AMINO-2-OCTYLOXY-6-HYDROXYMETHYL-TETRAHYDRO-PYRAN-3,5-DIOL","3,4-Epoxybutyl-Alpha-D-Glucopyranoside","(1R,2R,3R,4S,5R)-4-(Benzylamino)-5-(methylthio)cyclopentane-1,2,3-triol"
Trifluridine,Floxuridine,Raluridine,5-Bromothienyldeoxyuridine
Prochlorperazine,Perphenazine,Clorotepine,Perphenazine enanthate
Cyproheptadine,Pizotifen,Azatadine,Pimethixene
Nitric Oxide,Ethyl nitrite,Oxygen,Formaldehyde
Bendroflumethiazide,Epitizide,Hydroflumethiazide,Cyclopenthiazide
Allopurinol,6-bromopurine,Adenine,6-Methylpurine
Ceftazidime,Cefozopran,Cefepime,Cefpirome
Cerivastatin,"(2S,4S,5R)-1-(4-TERT-BUTYLBENZOYL)-2-ISOBUTYL-5-(1,3-THIAZOL-2-YL)PYRROLIDINE-2,4-DICARBOXYLIC ACID",Upamostat,Pitavastatin
Trimethoprim,Brodimoprim,Tetroxoprim,"2,4-Diamino-5-(3,4,5-Trimethoxy-Benzyl)-Pyrimidin-1-Ium"
Gemcitabine,Tezacitabine,4'-Thio-fac,2'-Deoxycytidine
Entecavir,Loxoribine,5-methyl-2'-fluoroarauracil F-18,5'-{[4-(aminooxy)butyl](methyl)amino}-5'-deoxy-8-ethenyladenosine
Betamethasone,Dexamethasone,Clobetasol,Mometasone
Teniposide,Etoposide,Etoposide toniribate,Hidrosmin
Epirubicin,Doxorubicin,Camsirubicin,Daunorubicin
Chloramphenicol,Bromamphenicol,Chloramphenicol succinate,1-GUANIDINO-4-(N-NITRO-BENZOYLAMINO-L-LEUCYL-L-PROLYLAMINO)BUTANE
Loracarbef,7-(2-Amino-2-Phenyl-Acetylamino)-3-Chloro-8-Oxo-1-Aza-Bicyclo[4.2.0]Oct-2-Ene-2-Carboxylic Acid,Cefaclor,Cefatrizine
Lansoprazole,Dexlansoprazole,Tavapadon,"2-(6-Chloro-3-{[2,2-difluoro-2-(2-pyridinyl)ethyl]amino}-2-oxo-1(2H)-pyrazinyl)-N-[(2-fluoro-6-pyridinyl)methyl]acetamide"
Dipivefrin,Ibopamine,Celiprolol,Bambuterol
Droperidol,Benperidol,Ketanserin,"4-[3-(1,4-diazepan-1-ylcarbonyl)-4-fluorobenzyl]phthalazin-1(2H)-one"
Levothyroxine,Dextrothyroxine,Liothyronine,Tetraiodothyroacetic acid
Framycetin,Paromomycin,Lividomycin A,Cellotetraose
Clomocycline,Rolitetracycline,Chlortetracycline,Oxytetracycline
Meperidine,Ethoheptazine,Etoxeridine,Droxypropine
Loratadine,Clopenthixol,"(11S)-8-CHLORO-11-[1-(METHYLSULFONYL)PIPERIDIN-4-YL]-6-PIPERAZIN-1-YL-11H-BENZO[5,6]CYCLOHEPTA[1,2-B]PYRIDINE",Zuclopenthixol
Cefalotin,Cefapirin,Cephaloglycin,Cefacetrile
Prazosin,Terazosin,Doxazosin,NNI-351
Imipramine,Promazine,Clomipramine,Prothipendyl
Acitretin,Ro 12-7310,Motretinide,LGD-1550
Verteporfin,Lemuteporfin,Protoporphyrin,Talaporfin
Nabumetone,Agomelatine,6-(N-Phenylcarbamyl)-2-Naphthalenecarboxamidine,6-[N-(4-(Aminomethyl)Phenyl)Carbamyl]-2-Naphthalenecarboxamidine
Methscopolamine bromide,Methscopolamine,Oxitropium,Butylscopolamine
Metharbital,Butabarbital,Pentobarbital,Butobarbital
Sodium tetradecyl sulfate,Tetradecyl hydrogen sulfate (ester),VB-201,Calcium lactate
Ketorolac,Clotiazepam,"2-[2-(1H-tetrazol-5-yl)ethyl]-1H-isoindole-1,3(2H)-dione",Imino-Tryptophan
Picrotoxin,ginkgolide-J,Ginkgolide A,Fluticasone furoate
Enoxacin,Norfloxacin,Piromidic acid,Pipemidic acid
Quinine,Hydroquinine,Hydroquinidine,Quinidine
Tenoxicam,Piroxicam,Lornoxicam,Piroxicam cinnamate
Dronabinol,Tetrahydrocannabivarin,Dexanabinol,Nabilone
Montelukast,"(S)-2-((S)-3-isobutyl-2,5-dioxo-4-quinolin-3-ylmethyl-[1,4]diazepan-1yl)-N-methyl-3-naphtalen-2-yl-propionamide",MK-3577,"6-(4-{(1S,2S)-2-AMINO-1-[(DIMETHYLAMINO)CARBONYL]-3-[(3S)-3-FLUOROPYRROLIDIN-1-YL]-3-OXOPROPYL}PHENYL)-1H-[1,2,4]TRIAZOLO[1,5-A]PYRIDIN-4-IUM"
Fluoxetine,Seproxetine,(S)-Fluoxetine,(R)-Fluoxetine
Hexylcaine,2-ethylhexyl benzoate,Octisalate,Benactyzine
Methohexital,Secobarbital,Enibomal,Aprobarbital
Chlordiazepoxide,Ro 24-7429,Oxazepam,Lorazepam
Duloxetine,Dapoxetine,Atomoxetine,(2R)-2-PHENYL-N-PYRIDIN-4-YLBUTANAMIDE
Chlorpromazine,Chlorproethazine,Clomipramine,Promazine
Rimantadine,Memantine,Amantadine,1-(adamantan-1-yl)-2-(1H-imidazol-1-yl)ethanone
Amikacin,Arbekacin,H TYPE II TRISACCHARIDE,NB-124 sulfate
Lenalidomide,Pomalidomide,S-3APG,"(3aS)-3a-hydroxy-5-methyl-1-phenyl-1,2,3,3a-tetrahydro-4H-pyrrolo[2,3-b]quinolin-4-one"
Raloxifene,Pipendoxifene,Bazedoxifene,Acolbifene
Celecoxib,Deracoxib,Rovazolac,1-Phenylsulfonamide-3-Trifluoromethyl-5-Parabromophenylpyrazole
Gallamine triethiodide,SR 140333,Viminol,Rhenium (186-Re) obisbemeda
Brimonidine,6-CHLORO-4-(CYCLOHEXYLOXY)-3-PROPYLQUINOLIN-2(1H)-ONE,6-CHLORO-4-(CYCLOHEXYLSULFANYL)-3-PROPYLQUINOLIN-2(1H)-ONE,Clonazoline
Dicloxacillin,Flucloxacillin,Cloxacillin,Oxacillin
Nabilone,Dexanabinol,Lenabasum,Tetrahydrocannabivarin
Pefloxacin,Lomefloxacin,Norfloxacin,Enoxacin
Altretamine,Terbutryn,Atrazine,ENA-001
Sotalol,Ibutilide,Dofetilide,Atenolol
Buspirone,Furethidine,1-[[(1E)-2-(4-CHLOROPHENYL)ETHENYL]SULFONYL]-4-[[1-(4-PYRIDINYL)-4-PIPERIDINYL]METHYL]PIPERAZINE,Dicyclomine
Miglitol,Miglustat,Lucerastat,Sinbaglustat
Fosinopril,Quinaprilat,Trandolaprilat,Quinapril
Cefotaxime,Cefcapene,Cefetamet,Cefuroxime
Entacapone,Tyrphostin AG 835,4-HYDROXY-5-IODO-3-NITROPHENYLACETYL-EPSILON-AMINOCAPROIC ACID ANION,(2Z)-N-(3-chloro-2'-methoxybiphenyl-4-yl)-2-cyano-3-hydroxybut-2-enamide
Zidovudine,Zidovudine monophosphate,Zidovudine diphosphate,Azidocillin
Darifenacin,Lecozotan,Ormeloxifene,"(4R,5R)-5-AMINO-1-[2-(1,3-BENZODIOXOL-5-YL)ETHYL]-4-(2,4,5-TRIFLUOROPHENYL)PIPERIDIN-2-ONE"
Oxycodone,Hydrocodone,Nalbuphine,Thebacon
Phenindione,Clorindione,Fluindione,Isobromindione
Flutamide,(R)-3-BROMO-2-HYDROXY-2-METHYL-N-[4-NITRO-3-(TRIFLUOROMETHYL)PHENYL]PROPANAMIDE,Fasentin,S-3-(4-FLUOROPHENOXY)-2-HYDROXY-2-METHYL-N-[4-NITRO-3-(TRIFLUOROMETHYL)PHENYL]PROPANAMIDE
Tolmetin,Amtolmetin guacil,Zomepirac,Tosyl-D-Proline
Cimetidine,Dacarbazine,trans-urocanic acid,"(2E)-3-{3-[(5-ETHYL-3-IODO-6-METHYL-2-OXO-1,2-DIHYDROPYRIDIN-4-YL)OXY]PHENYL}ACRYLONITRILE"
Haloperidol,Bromperidol,Eliprodil,Loperamide
Ritonavir,DPDPE,Atazanavir,Telinavir
Levallorphan,Levorphanol,Dextrorphan,Hydroquinine
Tridihexethyl,Oxyphenonium,Penthienate,Methylbenactyzium
Nitazoxanide,Nitroaspirin,NCX 701,Nimesulide
Triflupromazine,Fluphenazine,Trifluoperazine,Antrafenine
Dextrothyroxine,Levothyroxine,Liothyronine,Tetraiodothyroacetic acid
Acetyldigitoxin,Acetyldigoxin,Lanatoside C,Metildigoxin
Vancomycin,Desvancosaminyl vancomycin,Oritavancin,Deglucobalhimycin
Aminocaproic acid,Caprylic acid,Heptanoic acid,Aminooxyacetic acid
Dextromethorphan,Dimemorfan,Butorphanol,Dianicline
Cisplatin,Bromothalonil,"diethyl [(1R)-1,5-diaminopentyl]boronate",PHENYLALANINE BORONIC ACID
Anisotropine methylbromide,Homatropine methylbromide,"1-(1-HYDROXY-2,2,6,6-TETRAMETHYLPIPERIDIN-4-YL)PYRROLIDINE-2,5-DIONE",Eprenetapopt
Albendazole,Oxibendazole,Tioxidazole,Nolatrexed
Trandolapril,Ramipril,Trandolaprilat,Ramiprilat
Caspofungin,Plitidepsin,LM-030,EP-217609
Carteolol,Levobunolol,4-{[(2S)-3-(tert-butylamino)-2-hydroxypropyl]oxy}-3H-indole-2-carbonitrile,Tolrestat
Bentiromide,AGG-523,"4-{3-CHLORO-4-[3-(2,4-DICHLORO-BENZOYL)-UREIDO]-PHENOXY}-BUTYRIC ACID",Bezafibrate
Alitretinoin,Isotretinoin,Tretinoin,4-Oxoretinol
Metolazone,Quinethazone,Mebutizide,Indapamide
Tolnaftate,Farudodstat,4-({4-[(4-methoxypyridin-2-yl)amino]piperidin-1-yl}carbonyl)benzonitrile,3-{[(3-FLUORO-3'-METHOXYBIPHENYL-4-YL)AMINO]CARBONYL}THIOPHENE-2-CARBOXYLIC ACID
Oxaliplatin,Navuridine,Azvudine,"5-[(3AS,4R,6AR)-2-OXOHEXAHYDRO-1H-THIENO[3,4-D]IMIDAZOL-4-YL]PENTANOIC ACID"
Cinchocaine,Efaproxiral,Pirprofen,Eperisone
Lercanidipine,Nicardipine,Cronidipine,Manidipine
Foscarnet,2-Phosphoglycolic Acid,Dihydroxyacetone phosphate,Pimelic Acid
Erlotinib,CUDC-101,Icotinib,"4-chloro-6-{5-[(2-morpholin-4-ylethyl)amino]-1,2-benzisoxazol-3-yl}benzene-1,3-diol"
Cyclophosphamide,Trofosfamide,Ifosfamide,Timonacic
Mephenytoin,Methylphenobarbital,Primidone,Phenylbutazone
Rofecoxib,"N-Methyl-4-{[(2-oxo-1,2-dihydro-3H-indol-3-ylidene)methyl]amino}benzenesulfonamide",Indoprofen,Indobufen
Chlormerodrin,Arginineamide,Nedaplatin,Acetylcysteine amide
Cefdinir,Cefixime,Cefprozil,Cefpodoxime
Guanidine,Pimagedine,N-hydroxyguanidine,Agmatine
Ciprofloxacin,Sarafloxacin,4-[(CYCLOPROPYLETHYNYL)OXY]-6-FLUORO-3-ISOPROPYLQUINOLIN-2(1H)-ONE,6-Chloro-4-[(R)-cyclohexylsulfinyl]-3-propyl-2(1H)-quinolinone
Gadoversetamide,Gadodiamide,Gadopentetic acid,Gadoxetic acid
Toremifene,Enclomiphene,Fispemifene,Ospemifene
Nortriptyline,Protriptyline,Doxepin,Cyclobenzaprine
Vincristine,Vinblastine,Vindesine,Anhydrovinblastine
Benazepril,Temocapril,Cilazapril,Daglutril
Amoxapine,Norclozapine,Estazolam,Idazoxan
Fluorouracil,5-Iodouracil,Uracil mustard,Oxypurinol
Pyridostigmine,Distigmine,Alagebrium,"(S)-2-[4-(Aminomethyl)-1h-1,2,3-Triazol-1-Yl]-4-Methylpentanoic Acid"
Adinazolam,Alprazolam,Pyrazolam,Midazolam
Desoximetasone,Dexamethasone,Betamethasone,Clobetasol
Azelaic acid,Pimelic Acid,Foscarnet,2-Phosphoglycolic Acid
Zafirlukast,Masilukast,4-[(5-CHLOROINDOL-2-YL)SULFONYL]-2-(2-METHYLPROPYL)-1-[[5-(PYRIDIN-4-YL)PYRIMIDIN-2-YL]CARBONYL]PIPERAZINE,Vidupiprant
Propylthiouracil,Methylthiouracil,"5,6-Diaminouracil",6-Hydroxypropylthymine
Acetohydroxamic acid,Caprylhydroxamic acid,Hydroxyurea,4-hydroxybutan-2-one
Pentostatin,"(2S,3S,4R,5S)-2-(4-Amino-4,5-dihydro-1H-pyrrolo[3,2-d]pyrimidin-7-yl)-5-[(methylsulfanyl)methyl]-3,4-pyrrolidinediol","6-hydroxy-1,6-dihydro purine nucleoside",5'-S-[2-(decylamino)ethyl]-5'-thioadenosine
Methoxsalen,Bergapten,Pyrazolanthrone,2-amino-8-methyl-4(1H)-quinazolinone
Piroxicam,Tenoxicam,Lornoxicam,Piroxicam cinnamate
Lamotrigine,"4-(2,5-Dichloro-Thiophen-3-Yl)-Pyrimidin-2-Ylamine","4-[1-(2,6-dichlorobenzyl)-2-methyl-1H-imidazol-4-yl]pyrimidin-2-amine",Metoprine
Perflutren,Perflubutane,Perflenapent,Hexafluoroacetone Hydrate
Hydroxyzine,Chlorcyclizine,Homochlorcyclizine,Cetirizine
Zanamivir,Des(carbamimidoyl) zanamivir,"2,4-deoxy-4-guanidino-5-N-acetyl-neuraminic acid","2-deoxy-2,3-dehydro-N-acetylneuraminic acid"
Bosentan,Selonsertib,Ceritinib,Doramapimod
Tigecycline,Omadacycline,Sarecycline,Minocycline
Doxapram,Piperidolate,Prifinium,Benzilone
Benzthiazide,Cyclopenthiazide,Fenquizone,"6-CHLORO-3-(DICHLOROMETHYL)-3,4-DIHYDRO-2H-1,2,4-BENZOTHIADIAZINE-7-SULFONAMIDE 1,1-DIOXIDE"
Methotrexate,Methopterin,Pralatrexate,"Furo[2,3d]Pyrimidine Antifolate"
Carbamazepine,Oxcarbazepine,Eslicarbazepine,Amineptine
Cisatracurium,Mivacurium,Doxacurium,Atracurium besylate
Succimer,meso-Tartaric acid,L-tartaric acid,D-tartaric acid
Cephalexin,Cefadroxil,Cephaloglycin,Cefroxadine
Cinnarizine,GBR-12783,Chlorbenzoxamine,Z-160
Fondaparinux,Idraparinux,EP-217609,3'-1-carboxy-1-phosphonooxy-ethoxy-uridine-diphosphate-N-acetylglucosamine
Vinblastine,Vindesine,Vincristine,Deacetoxyvinzolidine
Propranolol,Hydroxychloroquine,Chloroquine,Dimetacrine
Atropine,Homatropine,Hyoscyamine,Methylatropine
Fenoprofen,"N-(2,3-DIFLUORO-BENZYL)-4-SULFAMOYL-BENZAMIDE",Ketoprofen,N-(2-Flouro-Benzyl)-4-Sulfamoyl-Benzamide
Fenfluramine,Dexfenfluramine,Flumecinol,(1R)-2-amino-1-[3-(trifluoromethyl)phenyl]ethanol
Clonidine,Romifidine,Xylazine,Lofexidine
Sulfamethizole,Sulfameter,Sulfamethylthiazole,Sulfaperin
Valaciclovir,Valganciclovir,Valomaciclovir,Biopterin
Carbenicillin,Ticarcillin,Carfecillin,Isopenicillin N
Mazindol,Cloxazolam,Phenolphthalein,Haloxazolam
Valdecoxib,Cimicoxib,2-(hydrazinocarbonyl)-3-phenyl-1H-indole-5-sulfonamide,GW-406381
Lactulose,2'-Deoxymaltose,Sucralose,Cellobiose
Voriconazole,Albaconazole,Ravuconazole,Isavuconazole
Levocarnitine,(3-Carboxy-2-(R)-Hydroxy-Propyl)-Trimethyl-Ammonium,"2,4-Dihydroxy-3,3-Dimethyl-Butyrate",Acetylcarnitine
Enalapril,Lisinopril,Enalaprilat,Quinapril
Nizatidine,Ranitidine,Ergothioneine,"(2S)-2-Ammonio-3-[5-(2-methyl-2-propanyl)-3-oxido-1,2-oxazol-4-yl]propanoate"
Diclofenac,Aceclofenac,2-(4-CHLORO-PHENYLAMINO)-NICOTINIC ACID,Guanfacine
Cinalukast,3-[Isopropyl(4-Methylbenzoyl)Amino]-5-Phenylthiophene-2-Carboxylic Acid,"4-{(1E)-3-OXO-3-[(2-PHENYLETHYL)AMINO]PROP-1-EN-1-YL}-1,2-PHENYLENE DIACETATE","5-METHYL-3-(9-OXO-1,8-DIAZA-TRICYCLO[10.6.1.013,18]NONADECA-12(19),13,15,17-TETRAEN-10-YLCARBAMOYL)-HEXANOIC ACID"
Fluticasone propionate,Paramethasone acetate,Methylprednisolone aceponate,Clocortolone caproate
Lisuride,Lysergic acid diethylamide,Methylergometrine,Ergometrine
Doxazosin,Terazosin,Prazosin,NNI-351
Fluocinolone acetonide,Flunisolide,Fluclorolone acetonide,Flurandrenolide
Piperazine,"1,4-Dioxane",Morpholine,Pyrrolidine
Ethosuximide,Metharbital,Butalbital,Pentobarbital
Amiloride,Guanfacine,Olanexidine,Chlorproguanil
Oxytetracycline,Tetracycline,Chlortetracycline,Rolitetracycline
Ulobetasol,Diflorasone,Flumethasone,Fluticasone
Gadoteridol,Gadoteric acid,Gadopentetic acid,Indium In-111 pentetate
Labetalol,Indapamide,Carbuterol,Atenolol
Thiopental,Pentobarbital,Butabarbital,Vinylbital
Monobenzone,N-(pyridin-3-ylmethyl)aniline,Pramocaine,4-(Isopropylamino)diphenylamine
Linezolid,Sutezolid,Radezolid,Eribaxaban
Ivermectin,P-57AS3,Escin,Eprinomectin
Medroxyprogesterone acetate,Megestrol acetate,Norgestomet,Nomegestrol acetate
Cisapride,Ticalopride,Naronapride,Mosapride
Sulindac,Exisulind,"2-[({2-[(1Z)-3-(DIMETHYLAMINO)PROP-1-ENYL]-4-FLUOROPHENYL}SULFONYL)AMINO]-5,6,7,8-TETRAHYDRONAPHTHALENE-1-CARBOXYLIC ACID",2-[4-[(Z)-2-Acetamido-3-oxo-3-[[(3S)-2-oxo-1-[(4-phenylphenyl)methyl]azepan-3-yl]amino]prop-1-enyl]-2-formylphenyl]acetic acid
Cyclothiazide,Cyclopenthiazide,Fenquizone,Clorexolone
Nafcillin,Meticillin,Oxacillin,Cloxacillin
Chloroquine,Hydroxychloroquine,Quinacrine,Glafenine
Ethionamide,Protionamide,Hydracarbazine,2-(4-METHOXYPHENYL)ACETAMIDE
Metaraminol,Levonordefrin,Oxilofrine,Phenylephrine
Butorphanol,Dextromethorphan,Dimemorfan,Drotebanol
Bisoprolol,Betaxolol,Metoprolol,Clobutinol
Amodiaquine,Haletazole,N-(2-AMINOETHYL)-2-{3-CHLORO-4-[(4-ISOPROPYLBENZYL)OXY]PHENYL} ACETAMIDE,KX-2361
Furazolidone,Nitrofural,Nifurzide,Nifuroxazide
Rifabutin,CGP 4832,Rifampicin,Rifapentine
Candoxatril,Candoxatrilat,Ipatasertib,Alvimopan
Paramethadione,Metharbital,Methyprylon,Ethadione
Demeclocycline,Chlortetracycline,Tetracycline,TP-271
Imatinib,Masitinib,Flumatinib,Bentamapimod
Triamcinolone,Isoflupredone,Fludrocortisone,Fluocinolone
Oxandrolone,BA-2664,"17Alpha-methyl-3beta,17beta-dihydroxy-5alpha-androstane",Aetiocholanolone
Nicardipine,Nimodipine,Cilnidipine,Nilvadipine
Fluphenazine,Trifluoperazine,JNJ-37822681,Flupentixol
Testosterone,Epitestosterone,Boldenone,4-Androstenediol
Efavirenz,JNJ-28330835,Quazepam,5-[2-(TRIFLUOROMETHYL)PHENYL]-2-FUROIC ACID
Bacitracin,AMY-101,Lancovutide,TAK-448
Niacin,Benzoic acid,Isonicotinic acid,Picolinic acid
Clorazepic acid,Ethyl loflazepate,Oxazepam acetate,Temazepam acetate
Guanabenz,Guanoxabenz,Guanoclor,"6,6-DIMETHYL-1-[3-(2,4,5-TRICHLOROPHENOXY)PROPOXY]-1,6-DIHYDRO-1,3,5-TRIAZINE-2,4-DIAMINE"
Alendronic acid,Pamidronic acid,"(1-HYDROXYHEPTANE-1,1-DIYL)BIS(PHOSPHONIC ACID)",Neridronic Acid
Clofarabine,Fludarabine,Nelarabine,2-Fluoroadenosine
Docosanol,Pentaglyme,1-Deoxy-1-Thio-Heptaethylene Glycol,Tetraglyme
Dexmedetomidine,Rezatomidine,Medetomidine,Detomidine
Sulfacetamide,Carbutamide,Sulfathiourea,Chlorpropamide
Prednisone,Prednisolone,Loteprednol,Chloroprednisone
Clofibrate,Alaproclate,Iproclozide,Cloranolol
Astemizole,4-(BENZHYDRYLOXY)-1-[3-(1H-TETRAAZOL-5-YL)PROPYL]PIPERIDINE,4-[4-(1-Amino-1-Methylethyl)Phenyl]-5-Chloro-N-[4-(2-Morpholin-4-Ylethyl)Phenyl]Pyrimidin-2-Amine,Dotarizine
Butoconazole,Isoconazole,Sulconazole,Econazole
Adenosine,Methylthioinosine,1-Deaza-Adenosine,Vidarabine
Simvastatin,Acetyl simvastatin,Lovastatin,Tenivastatin
Pemetrexed,AGF-94,Folic acid,Raltitrexed
Mebendazole,Nocodazole,Oxfendazole,Flubendazole
Gonadorelin,Lanreotide,Vasopressin,Phenylferricrocin-iron
Dyclonine,Tolperisone,Eperisone,N-(4-METHYLBENZOYL)-4-BENZYLPIPERIDINE
Nystatin,Amphotericin B,Josamycin propionate,Rokitamycin
Dextropropoxyphene,Levopropoxyphene,Dextromethadone,Levomethadone
Mitotane,Clofenotane,Mitometh,Cetirizine
Stavudine,Edoxudine,Thymidine,Alovudine
Leucovorin,"5-hydroxymethyl-5,6-dihydrofolic acid",Folitixorin,"(6S)-5,6,7,8-tetrahydrofolic acid"
Dyphylline,Doxofylline,Acefylline,Etofylline nicotinate
Pentazocine,Pirnabine,Adapalene,Cannabichromene
Magnesium sulfate,Barium sulfate,Cobaltous sulfate,Ferrous sulfate anhydrous
Latanoprost,Bimatoprost,Tafluprost,Luprostiol
Estrone,Estradiol,Estradiol sulfamate,17alpha-Estriol
Trazodone,Ibezapolstat,"8-BENZO[1,3]DIOXOL-,5-YLMETHYL-9-BUTYL-9H-","1-(1-methylethyl)-3-quinolin-6-yl-1H-pyrazolo[3,4-d]pyrimidin-4-amine"
Mecamylamine,Borneol,Menthol,Rimantadine
Sevelamer,Ifosfamide,"(4S)-4-hydroxy-3,4-dihydro-2(1H)-pyrimidinone",Dimiracetam
Acamprosate,2-oxopropyl-CoM,Acetylphosphate,Palmitic Acid
Metaxalone,"N-[1-(5-bromo-2,3-dimethoxybenzyl)piperidin-4-yl]-4-sulfanylbutanamide",Opiranserin,Trimethobenzamide
Verapamil,Dexverapamil,Gallopamil,Arverapamil
Trimethobenzamide,Itopride,Opiranserin,"6-methyl-5-[3-methyl-3-(3,4,5-trimethoxyphenyl)but-1-yn-1-yl]pyrimidine-2,4-diamine"
Flumethasone,Diflorasone,Ulobetasol,Fluticasone
Sulfametopyrazine,Sulfametrole,Carbutamide,Sulfathiourea
Nilutamide,S-3-(4-FLUOROPHENOXY)-2-HYDROXY-2-METHYL-N-[4-NITRO-3-(TRIFLUOROMETHYL)PHENYL]PROPANAMIDE,Andarine,Polmacoxib
Nafarelin,Triptorelin,Goserelin,Vapreotide
Epinephrine,Norepinephrine,Levonordefrin,Phenylephrine
Sumatriptan,Naratriptan,"2-(1,3-thiazol-4-yl)-1H-benzimidazole-5-sulfonamide",Carbocromen
Pirenzepine,Zopiclone,Eszopiclone,Balicatib
Cefixime,Cefdinir,Cefprozil,Cefacetrile
Chlorpropamide,Sulfacetamide,Carbutamide,Tolbutamide
Aprepitant,Fosaprepitant,LGD2941,Serlopitant
Galantamine,Hydrocodone,Codeine,Ethylmorphine
Tamoxifen,Afimoxifene,Droloxifene,Zimelidine
Benzyl benzoate,Benzyl nicotinate,Nicofetamide,Phenyl salicylate
Isoflurophate,TERT-BUTYL 2-CYANO-2-METHYLHYDRAZINECARBOXYLATE,Echothiophate,Isopropyl myristate
Losartan,Prexasertib,Forasartan,Fimasartan
Thioridazine,Thiethylperazine,Periciazine,Etymemazine
Moricizine,Ethacizine,Tiracizine,Pipotiazine
Amphotericin B,Nystatin,Josamycin propionate,Rokitamycin
Warfarin,Ethyl biscoumacetate,(S)-Warfarin,(R)-warfarin
